date,Close,Volume
8/13/2012,128.32,1613500
8/14/2012,129.89,2183100
8/15/2012,129.06,1933900
8/16/2012,129.68,2280300
8/17/2012,128.69,2395600
8/20/2012,128.16,2168600
8/21/2012,127.52,1901300
8/22/2012,128.1,2216500
8/23/2012,127.15,1750000
8/24/2012,126.66,2662700
8/27/2012,127.66,2205100
8/28/2012,127.4,1965700
8/29/2012,128.02,2145900
8/30/2012,126.7,2143400
8/31/2012,128.25,3446000
9/4/2012,128.52,2550200
9/5/2012,127.61,3174700
9/6/2012,129.5,3924600
9/7/2012,129.71,2697300
9/10/2012,128.68,2908400
9/11/2012,131.49,3972600
9/12/2012,133.46,3664000
9/13/2012,134.98,3936300
9/14/2012,134.25,3322400
9/17/2012,133.87,2662300
9/18/2012,133.66,3298100
9/19/2012,134.79,2994200
9/20/2012,134.61,3194900
9/21/2012,135,7306400
9/24/2012,133.74,2632500
9/25/2012,134.56,3849600
9/26/2012,132.52,2659300
9/27/2012,133.91,2108200
9/28/2012,134.28,2357900
10/1/2012,136.73,3675200
10/2/2012,136,2510400
10/3/2012,138.52,2929400
10/4/2012,139.67,2118900
10/5/2012,140.26,2820200
10/8/2012,138.71,1700900
10/9/2012,136.74,2494500
10/10/2012,137.42,2012600
10/11/2012,139.05,3514400
10/12/2012,139.12,2029000
10/15/2012,139.89,2423600
10/16/2012,141.16,2081100
10/17/2012,142.56,2531500
10/18/2012,141.88,2810400
10/19/2012,139.97,2533600
10/22/2012,139,2445700
10/23/2012,136.64,2980800
10/24/2012,136.49,2869500
10/25/2012,137.55,3968900
10/26/2012,138.31,3037200
10/31/2012,138.76,3567800
11/1/2012,143.88,5327500
11/2/2012,143.4,4624500
11/5/2012,141.5,3466000
11/6/2012,143.86,2272300
11/7/2012,142.56,2607900
11/8/2012,142.06,2533300
11/9/2012,142.93,2949900
11/12/2012,143.24,2235900
11/13/2012,142.45,2537300
11/14/2012,139.95,3402000
11/15/2012,140,3429400
11/16/2012,142.71,4158100
11/19/2012,145.65,3780100
11/20/2012,146.34,2391600
11/21/2012,146.66,1641300
11/23/2012,148.12,1113600
11/26/2012,147.25,2155900
11/27/2012,146.78,2495400
11/28/2012,147.29,2589600
11/29/2012,148.18,3143200
11/30/2012,149.71,3512000
12/3/2012,148.64,2934200
12/4/2012,147.59,2275200
12/5/2012,148.06,2992800
12/6/2012,148.47,2281000
12/7/2012,148.55,1889300
12/10/2012,148.66,2322200
12/11/2012,148.9,3623200
12/12/2012,147.88,4579900
12/13/2012,147.2,3260700
12/14/2012,146.82,2394800
12/17/2012,149.13,3475800
12/18/2012,150.72,2967400
12/19/2012,149.16,2160100
12/20/2012,152.46,2715800
12/21/2012,150.77,3482600
12/24/2012,151.18,818000
12/26/2012,149.76,1903600
12/27/2012,149.4,2994200
12/28/2012,148.65,1743400
12/31/2012,151.58,3217000
1/2/2013,155.38,3956600
1/3/2013,155.5,3734300
1/4/2013,156.77,2594000
1/7/2013,157.89,2560600
1/8/2013,159.36,2950100
1/9/2013,161.79,4388200
1/10/2013,160.51,4078400
1/11/2013,161.16,2394500
1/14/2013,160.65,2219400
1/15/2013,160.45,1674000
1/16/2013,160.2,1366100
1/17/2013,159.88,1958400
1/18/2013,158.27,3453100
1/22/2013,159.05,1729500
1/23/2013,159.05,1777200
1/24/2013,159.56,1698500
1/25/2013,159.84,1675400
1/28/2013,156.35,3383000
1/29/2013,156.66,2916000
1/30/2013,155.01,4677000
1/31/2013,157.91,4171400
2/1/2013,158.56,3184600
2/4/2013,156.65,2633000
2/5/2013,159.53,2776300
2/6/2013,160.82,3764200
2/7/2013,157.06,5045700
2/8/2013,157.8,3228500
2/11/2013,156.33,2758100
2/12/2013,156.8,2451400
2/13/2013,154.77,3479400
2/14/2013,155.98,3190000
2/15/2013,157.99,4471100
2/19/2013,157.61,3302500
2/20/2013,155.42,3922200
2/21/2013,157.44,3555200
2/22/2013,159.43,2934500
2/25/2013,155.89,2795800
2/26/2013,157.83,2838500
2/27/2013,159.87,2079500
2/28/2013,158.64,2807000
3/1/2013,158.08,3303000
3/4/2013,159.5,1642500
3/5/2013,160.29,2566900
3/6/2013,161.06,1879000
3/7/2013,160.51,2171800
3/8/2013,160.67,2392900
3/11/2013,161.18,1685500
3/12/2013,159.8,2085200
3/13/2013,159.37,2755400
3/14/2013,160.66,3713400
3/15/2013,158.55,4399900
3/18/2013,158.07,3790700
3/19/2013,156,4413100
3/20/2013,159.33,4017600
3/21/2013,157.8,3720800
3/22/2013,160.09,4697600
3/25/2013,164,4834200
3/26/2013,167.46,4316200
3/27/2013,168.66,3342800
3/28/2013,169.84,3114100
4/1/2013,167.35,3308800
4/2/2013,167.95,2395500
4/3/2013,164.75,4156200
4/4/2013,166.48,2225900
4/5/2013,165.16,1990600
4/8/2013,166.29,1531400
4/9/2013,164.75,1501100
4/10/2013,166.99,2249100
4/11/2013,167.62,1647500
4/12/2013,165.75,1769200
4/15/2013,161.29,2693500
4/16/2013,164.71,2523000
4/17/2013,162.23,2385900
4/18/2013,161.41,5252700
4/19/2013,163.96,1905100
4/22/2013,163.53,1350900
4/23/2013,165.66,1581000
4/24/2013,167.06,1861800
4/25/2013,168.76,2330700
4/26/2013,167.23,1531800
4/29/2013,167.9,2673600
4/30/2013,168.46,3040400
5/1/2013,166.02,3063100
5/2/2013,175.4,7669300
5/3/2013,179.54,3756600
5/6/2013,178.89,3271000
5/7/2013,179.79,2969100
5/8/2013,179.26,3612300
5/9/2013,178.58,2875300
5/10/2013,178.75,3459400
5/13/2013,178.93,3120000
5/14/2013,180.32,4018700
5/15/2013,181.76,3406100
5/16/2013,179.8,2478400
5/17/2013,184.57,3312200
5/20/2013,181.61,5298000
5/21/2013,181.55,3355700
5/22/2013,180.14,4890800
5/23/2013,178.1,4226500
5/24/2013,180.45,3076600
5/28/2013,180.03,2484300
5/29/2013,178.14,1872600
5/30/2013,181.03,2407000
5/31/2013,178.14,3128600
6/3/2013,180.19,3808100
6/4/2013,180.2,3382100
6/5/2013,177.22,3044200
6/6/2013,179.35,3666200
6/7/2013,179.94,3474800
6/10/2013,182.33,3444800
6/11/2013,179.66,1964100
6/12/2013,179.15,2498700
6/13/2013,182.25,2440100
6/14/2013,180.93,1856800
6/17/2013,182.35,3694800
6/18/2013,184.01,1894800
6/19/2013,182.63,3055200
6/20/2013,178.46,3883500
6/21/2013,179.5,4480800
6/24/2013,178.27,3881900
6/25/2013,180.47,3180400
6/26/2013,182.65,2598200
6/27/2013,184.26,2775600
6/28/2013,182.75,3164100
7/1/2013,185.22,2904000
7/2/2013,185.24,2187300
7/3/2013,187.04,1133300
7/5/2013,190.79,2123900
7/8/2013,188.1,4897000
7/9/2013,187.2,5832600
7/10/2013,186.7,3880800
7/11/2013,189.96,3558800
7/12/2013,190.72,1945700
7/15/2013,190.25,3632300
7/16/2013,189.38,1878800
7/17/2013,189.64,2779500
7/18/2013,191.01,1484600
7/19/2013,189.92,2262100
